                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1562,                 1.3547,                 1.7385,                 0.8145,                0.80385,                0.84268,                0.75518,                 1.1881,                0.99119,                 1.7034,              4.456e-05,              4.456e-05,              4.456e-05
                     58,                 1.0738,                 1.1965,                 1.7377,                0.80699,                0.81454,                0.84766,                0.75779,                 1.1974,                0.97463,                 1.7097,              4.357e-05,              4.357e-05,              4.357e-05
                     59,                 1.1605,                 1.3117,                 1.7526,                0.78977,                 0.8474,                 0.8444,                0.75257,                 1.2011,                0.97681,                 1.7106,              4.258e-05,              4.258e-05,              4.258e-05
                     60,                 1.0916,                 1.2019,                 1.7326,                0.78422,                0.86554,                0.84775,                0.75148,                 1.2238,                0.98449,                 1.7091,              4.159e-05,              4.159e-05,              4.159e-05
                     61,                 1.1434,                 1.1624,                 1.7369,                0.79437,                0.85518,                0.85098,                0.74787,                 1.2312,                0.97583,                  1.707,               4.06e-05,               4.06e-05,               4.06e-05
                     62,                 1.2228,                 1.2975,                 1.7082,                0.81336,                 0.8496,                0.84978,                0.75724,                 1.1926,                0.95565,                 1.7016,              3.961e-05,              3.961e-05,              3.961e-05
                     63,                 1.0545,                 1.2193,                 1.7145,                0.82231,                0.85056,                0.85048,                0.75431,                  1.181,                0.93608,                 1.6977,              3.862e-05,              3.862e-05,              3.862e-05
                     64,                 1.1546,                 1.2664,                 1.7611,                0.80279,                0.81933,                0.84498,                0.75117,                 1.1772,                0.92535,                 1.6922,              3.763e-05,              3.763e-05,              3.763e-05
                     65,                  1.181,                 1.2942,                 1.7652,                0.84851,                0.78075,                 0.8497,                0.75534,                 1.1791,                0.91746,                 1.6882,              3.664e-05,              3.664e-05,              3.664e-05
                     66,                 1.1235,                 1.2487,                 1.7381,                0.79036,                0.81584,                0.85775,                0.76367,                 1.1613,                0.91352,                 1.6736,              3.565e-05,              3.565e-05,              3.565e-05
                     67,                 1.0624,                 1.1432,                 1.7256,                0.86909,                0.77943,                0.86338,                0.76752,                 1.1555,                0.91435,                 1.6697,              3.466e-05,              3.466e-05,              3.466e-05
                     68,                 1.1432,                 1.1659,                 1.6946,                0.85924,                 0.8009,                0.87456,                0.77944,                 1.1539,                0.89758,                 1.6677,              3.367e-05,              3.367e-05,              3.367e-05
                     69,                 1.0275,                 1.0549,                 1.7129,                0.85092,                0.81788,                 0.8807,                 0.7834,                 1.1613,                0.89147,                 1.6696,              3.268e-05,              3.268e-05,              3.268e-05
                     70,                 1.0068,                 1.0583,                 1.7459,                0.87621,                0.81683,                0.88577,                 0.7862,                 1.1792,                0.87246,                 1.6771,              3.169e-05,              3.169e-05,              3.169e-05
                     71,                 1.0539,                 1.0688,                 1.6953,                0.86499,                0.80425,                0.88627,                0.79054,                 1.1724,                 0.8764,                 1.6742,               3.07e-05,               3.07e-05,               3.07e-05
                     72,                  1.058,                   1.18,                  1.737,                0.86039,                0.80111,                0.89119,                0.79271,                 1.1742,                0.87208,                 1.6802,              2.971e-05,              2.971e-05,              2.971e-05
                     73,                 1.0506,                  1.262,                 1.7099,                0.85404,                0.80218,                0.89183,                0.79269,                 1.1755,                0.86489,                 1.6831,              2.872e-05,              2.872e-05,              2.872e-05
                     74,                 1.2434,                 1.2304,                 1.7432,                0.85039,                0.81158,                0.89515,                0.79125,                 1.1797,                0.85374,                 1.6872,              2.773e-05,              2.773e-05,              2.773e-05
                     75,                 1.0905,                 1.0891,                 1.7223,                0.85306,                0.81271,                0.89747,                0.79303,                 1.1728,                0.84823,                 1.6863,              2.674e-05,              2.674e-05,              2.674e-05
                     76,                  1.048,                 1.2371,                  1.737,                0.89169,                0.80155,                0.91487,                0.81527,                 1.1568,                0.83299,                 1.6848,              2.575e-05,              2.575e-05,              2.575e-05
                     77,                 1.0411,                 1.1485,                 1.7097,                0.88553,                0.81973,                0.91615,                0.81905,                 1.1522,                0.82613,                 1.6842,              2.476e-05,              2.476e-05,              2.476e-05
                     78,                 1.1415,                 1.2052,                 1.7263,                0.89109,                  0.813,                0.91189,                0.81469,                 1.1441,                 0.8235,                 1.6821,              2.377e-05,              2.377e-05,              2.377e-05
                     79,                 1.0184,                 1.0464,                  1.707,                0.89646,                 0.8093,                0.91175,                0.81318,                 1.1443,                0.82808,                 1.6816,              2.278e-05,              2.278e-05,              2.278e-05
                     80,                 1.0366,                 1.0549,                 1.7003,                0.76162,                0.84082,                0.91508,                0.81798,                 1.1375,                 0.8221,                 1.6809,              2.179e-05,              2.179e-05,              2.179e-05
                     81,                 1.0757,                0.96985,                  1.686,                0.75519,                0.85367,                0.91805,                0.82161,                 1.1328,                0.81232,                 1.6797,               2.08e-05,               2.08e-05,               2.08e-05
                     82,                0.98512,                0.98065,                 1.7029,                0.75086,                 0.8618,                0.91976,                0.82276,                 1.1364,                0.81482,                   1.68,              1.981e-05,              1.981e-05,              1.981e-05
                     83,                  1.021,                 1.0195,                 1.6974,                0.74597,                0.85626,                0.91762,                0.82306,                 1.1325,                0.81099,                 1.6785,              1.882e-05,              1.882e-05,              1.882e-05
                     84,                0.97792,                0.97195,                 1.6856,                0.85365,                0.84863,                0.92645,                0.82758,                  1.136,                0.80228,                 1.6817,              1.783e-05,              1.783e-05,              1.783e-05
                     85,                0.97789,                0.96159,                 1.7218,                0.85827,                 0.8502,                0.92609,                0.82083,                  1.136,                0.80288,                 1.6809,              1.684e-05,              1.684e-05,              1.684e-05
                     86,                0.96817,                 1.0887,                 1.7094,                0.86337,                0.85734,                0.92361,                0.82439,                 1.1314,                0.79994,                 1.6774,              1.585e-05,              1.585e-05,              1.585e-05
                     87,                 1.0634,                 1.1454,                 1.6979,                0.86767,                0.85138,                 0.9251,                0.82576,                 1.1352,                0.79474,                 1.6795,              1.486e-05,              1.486e-05,              1.486e-05
                     88,                0.94913,                 1.0041,                 1.6974,                 0.8724,                0.84534,                0.92506,                0.82146,                 1.1392,                0.79685,                 1.6798,              1.387e-05,              1.387e-05,              1.387e-05
                     89,                0.98773,                  1.015,                 1.6851,                0.87351,                0.85304,                0.92571,                0.82111,                 1.1413,                0.79941,                 1.6775,              1.288e-05,              1.288e-05,              1.288e-05
                     90,                 1.0904,                 1.0641,                 1.7408,                0.87381,                0.84953,                 0.9238,                0.81852,                 1.1398,                0.80047,                 1.6788,              1.189e-05,              1.189e-05,              1.189e-05
                     91,                0.93184,                 1.0796,                 1.6407,                0.86927,                0.84828,                0.92362,                0.81798,                 1.1396,                0.80076,                 1.6765,               1.09e-05,               1.09e-05,               1.09e-05
                     92,                0.92886,                 1.1493,                 1.6163,                0.86991,                0.83556,                0.92609,                0.82405,                 1.1323,                0.80603,                 1.6736,               9.91e-06,               9.91e-06,               9.91e-06
                     93,                0.83535,                 1.1892,                 1.6447,                 0.8733,                0.83275,                0.92639,                0.82331,                 1.1284,                0.80671,                 1.6716,               8.92e-06,               8.92e-06,               8.92e-06
                     94,                0.95786,                 1.2131,                  1.717,                0.88043,                0.82334,                0.92412,                0.82091,                 1.1307,                 0.8057,                 1.6717,               7.93e-06,               7.93e-06,               7.93e-06
                     95,                0.90842,                 1.0303,                 1.6225,                0.75161,                0.87843,                0.92331,                0.82049,                 1.1283,                0.80745,                 1.6718,               6.94e-06,               6.94e-06,               6.94e-06
                     96,                 1.0353,                 1.2281,                 1.7042,                0.75443,                0.87911,                 0.9258,                0.82349,                 1.1294,                0.80666,                 1.6738,               5.95e-06,               5.95e-06,               5.95e-06
                     97,                 1.0485,                 1.4298,                 1.6864,                0.75136,                0.87845,                0.92604,                0.82434,                 1.1298,                0.80936,                 1.6742,               4.96e-06,               4.96e-06,               4.96e-06
                     98,                0.87115,                 1.5471,                 1.7378,                0.74866,                0.87883,                0.91887,                 0.8173,                 1.1305,                0.80576,                 1.6754,               3.97e-06,               3.97e-06,               3.97e-06
                     99,                0.89004,                0.96067,                 1.6567,                  0.749,                0.86676,                0.92079,                 0.8192,                 1.1305,                 0.8072,                 1.6756,               2.98e-06,               2.98e-06,               2.98e-06
                    100,                0.97164,                 1.4867,                 1.6402,                0.88033,                0.82913,                0.91799,                0.81533,                 1.1327,                0.81218,                 1.6767,               1.99e-06,               1.99e-06,               1.99e-06
