                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9785,                 18.798,                 3.2071,                0.01418,                0.16063,                0.01271,                0.01023,                 2.3264,                 9.6808,                 2.2251,               0.095005,                  5e-06,                  5e-06
                      2,                 3.0775,                 13.119,                 2.7594,                0.20625,                0.03333,                0.00435,                0.00285,                  2.928,                 9.4698,                 2.6276,               0.089011,             1.0891e-05,             1.0891e-05
                      3,                 2.1256,                 7.7132,                 2.2317,                0.10769,                0.03333,                0.00296,                0.00174,                   2.58,                 11.527,                 2.2781,               0.083017,             1.6663e-05,             1.6663e-05
                      4,                 2.1094,                 6.1116,                 2.1658,                 0.0777,                0.01905,                 0.0099,                0.00696,                 2.4496,                  9.296,                 2.2636,               0.077022,             2.2317e-05,             2.2317e-05
                      5,                 1.8363,                 5.3257,                 2.0521,                0.41805,                0.03571,                0.01366,                0.01039,                 2.1475,                 8.1103,                 2.2027,               0.071028,             2.7852e-05,             2.7852e-05
                      6,                 1.8227,                 5.1188,                 2.0433,                 0.6253,                0.03571,                0.01924,                0.01399,                 2.0413,                 7.9099,                 2.1722,               0.065033,             3.3267e-05,             3.3267e-05
                      7,                 1.7296,                 4.4829,                  1.956,                0.81516,                0.02143,                0.02368,                 0.0181,                 1.9901,                 7.6964,                  2.106,               0.059039,             3.8565e-05,             3.8565e-05
                      8,                 1.7714,                 4.2462,                 2.0053,                0.04789,                0.29272,                0.08365,                0.06723,                 1.7933,                  6.878,                 1.9769,               0.053044,             4.3743e-05,             4.3743e-05
                      9,                 1.6702,                 3.8795,                  1.938,                0.22786,                0.23463,                0.17551,                0.14994,                  1.616,                 5.2993,                 1.8844,               0.047049,             4.8802e-05,             4.8802e-05
                     10,                 1.6214,                  3.551,                 1.9477,                0.35899,                0.25162,                 0.2435,                0.20961,                 1.6126,                 4.4584,                 1.8636,               0.041054,             5.3743e-05,             5.3743e-05
                     11,                 1.6362,                 3.6503,                 1.9163,                0.25842,                0.37855,                 0.2798,                0.24169,                 1.6123,                 3.9284,                  1.853,               0.035059,             5.8565e-05,             5.8565e-05
                     12,                 1.4874,                 4.4011,                 2.0208,                0.21975,                0.44155,                0.29483,                0.25422,                 1.5964,                 3.5455,                 1.8491,               0.029063,             6.3268e-05,             6.3268e-05
                     13,                 1.5581,                   3.18,                 1.8755,                0.34702,                0.38526,                0.29137,                0.25252,                 1.5611,                 3.0665,                 1.8342,               0.023068,             6.7852e-05,             6.7852e-05
                     14,                 1.3909,                 2.9542,                 1.8801,                 0.3503,                0.42673,                0.32441,                0.27908,                 1.4943,                 2.6134,                 1.8067,               0.017072,             7.2318e-05,             7.2318e-05
                     15,                 1.6326,                 3.2317,                 1.9118,                0.37153,                0.39956,                0.36053,                0.31209,                 1.4704,                 2.4581,                 1.7952,               0.011077,             7.6665e-05,             7.6665e-05
                     16,                 1.5182,                 2.8903,                  1.862,                0.40451,                0.39966,                0.41614,                0.35715,                 1.4224,                  2.302,                 1.7739,              0.0050809,             8.0893e-05,             8.0893e-05
                     17,                 1.4058,                 2.4349,                 1.8355,                0.65957,                0.38543,                0.44566,                0.38199,                 1.4054,                 2.2293,                  1.769,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                 1.3062,                 3.0769,                 1.8424,                0.35385,                0.54678,                0.49518,                0.42324,                 1.3772,                 2.0931,                 1.7625,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                 1.2716,                 2.4268,                 1.8034,                0.39224,                0.58349,                0.52508,                0.45089,                 1.3539,                 2.0445,                 1.7604,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                 1.3766,                 2.4917,                 1.8282,                0.54738,                0.58476,                0.57292,                0.49342,                 1.3186,                 1.9335,                 1.7518,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                 1.3873,                 2.3002,                  1.786,                0.60212,                0.55057,                0.60781,                 0.5262,                 1.3059,                 1.8705,                  1.753,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                   1.27,                 1.9571,                 1.7936,                0.80007,                0.56385,                0.65247,                0.56311,                 1.3052,                  1.782,                 1.7476,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                 1.3914,                 2.1691,                 1.8452,                0.85289,                0.52987,                0.66959,                0.58274,                 1.3014,                 1.7457,                 1.7434,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                 1.3277,                 2.4062,                 1.8199,                0.82304,                0.52439,                0.66793,                0.58262,                 1.2867,                 1.7328,                 1.7305,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                 1.0773,                 2.4208,                  1.861,                0.89859,                0.49135,                0.66837,                0.58123,                 1.2957,                  1.739,                 1.7217,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                 1.3898,                 2.3718,                 1.8324,                0.89379,                0.52128,                 0.6735,                0.58609,                 1.2929,                 1.7643,                 1.7183,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                 1.2108,                 2.1207,                 1.8492,                0.91689,                0.52501,                0.67588,                  0.589,                 1.2911,                 1.7405,                 1.7124,              7.426e-05,              7.426e-05,              7.426e-05
                     28,                  1.253,                 1.8649,                 1.8149,                0.92328,                0.53564,                0.68645,                0.59795,                 1.2799,                 1.6428,                 1.7052,              7.327e-05,              7.327e-05,              7.327e-05
                     29,                 1.2766,                 1.8731,                 1.7983,                0.92572,                0.54931,                0.69655,                0.60795,                 1.2681,                 1.5978,                 1.6999,              7.228e-05,              7.228e-05,              7.228e-05
                     30,                 1.4212,                 1.9229,                 1.7785,                0.92464,                 0.5817,                0.72374,                 0.6315,                 1.2495,                 1.4865,                 1.6957,              7.129e-05,              7.129e-05,              7.129e-05
                     31,                 1.2551,                 1.7974,                 1.7687,                0.93257,                 0.5888,                0.73909,                0.64752,                 1.2375,                 1.4608,                 1.6916,               7.03e-05,               7.03e-05,               7.03e-05
                     32,                 1.3745,                 1.9796,                 1.8036,                0.86402,                0.63607,                0.76178,                0.66731,                 1.2308,                 1.4052,                 1.6809,              6.931e-05,              6.931e-05,              6.931e-05
                     33,                 1.2602,                 1.7562,                 1.7764,                0.91089,                0.62887,                0.77332,                0.68071,                 1.2227,                 1.3825,                 1.6765,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                 1.2539,                 1.9586,                 1.8651,                0.88137,                0.62363,                0.77944,                0.69515,                 1.2055,                  1.383,                 1.6838,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                 1.1264,                 1.5497,                 1.7568,                0.96044,                0.56999,                0.77189,                0.68732,                 1.2148,                 1.3868,                 1.6856,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                 1.3489,                 1.8059,                 1.8045,                0.65544,                0.67325,                0.76954,                0.68206,                 1.2149,                  1.403,                 1.6903,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                 1.1877,                 1.6116,                  1.779,                 0.6278,                 0.6815,                0.77584,                0.69227,                 1.2065,                  1.391,                 1.6923,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                 1.2013,                 1.4851,                 1.7458,                0.62296,                0.71573,                0.77278,                0.68464,                 1.2027,                 1.3162,                 1.6991,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                  1.227,                 1.5001,                 1.7355,                0.66722,                0.74049,                0.78749,                0.69172,                 1.2037,                 1.2804,                 1.6976,              6.238e-05,              6.238e-05,              6.238e-05
                     40,                 1.2606,                 1.4557,                 1.7554,                0.68112,                0.77518,                0.81074,                 0.7078,                 1.1979,                 1.2246,                 1.7028,              6.139e-05,              6.139e-05,              6.139e-05
                     41,                 1.2579,                 1.4571,                 1.7352,                 0.6706,                0.77818,                 0.8128,                0.71581,                 1.2128,                  1.192,                 1.7082,               6.04e-05,               6.04e-05,               6.04e-05
                     42,                 1.2268,                 1.4962,                 1.7398,                0.70987,                0.79436,                0.82714,                0.73585,                 1.2213,                 1.1466,                 1.7021,              5.941e-05,              5.941e-05,              5.941e-05
                     43,                 1.1131,                 1.4748,                 1.7512,                0.70885,                  0.794,                0.81806,                0.72902,                  1.218,                 1.1376,                 1.7008,              5.842e-05,              5.842e-05,              5.842e-05
                     44,                 1.0905,                  1.305,                 1.7434,                0.83633,                0.72423,                0.81754,                0.72614,                 1.2193,                  1.138,                 1.6906,              5.743e-05,              5.743e-05,              5.743e-05
                     45,                 1.2746,                 1.3439,                 1.7291,                   0.95,                 0.6512,                0.80968,                0.71513,                 1.2195,                 1.1365,                 1.6886,              5.644e-05,              5.644e-05,              5.644e-05
                     46,                  1.155,                  1.399,                 1.7766,                0.86003,                0.68387,                0.80747,                0.71517,                  1.189,                 1.1161,                 1.6862,              5.545e-05,              5.545e-05,              5.545e-05
                     47,                 1.2246,                 1.4189,                  1.757,                0.82373,                0.72778,                0.80496,                0.71628,                 1.1799,                 1.0975,                  1.686,              5.446e-05,              5.446e-05,              5.446e-05
                     48,                 1.2081,                 1.3375,                 1.7118,                0.79694,                0.76319,                0.81107,                0.72707,                 1.1604,                  1.034,                 1.6887,              5.347e-05,              5.347e-05,              5.347e-05
                     49,                 1.1396,                 1.2909,                 1.7335,                0.79285,                0.77692,                 0.8119,                0.72732,                 1.1676,                 1.0177,                 1.6869,              5.248e-05,              5.248e-05,              5.248e-05
                     50,                  1.107,                 1.4877,                 1.7549,                0.79371,                0.81875,                0.81998,                0.73414,                 1.1732,                 1.0019,                 1.6842,              5.149e-05,              5.149e-05,              5.149e-05
                     51,                 1.1902,                 1.3624,                 1.7594,                0.80339,                0.80686,                0.82738,                0.73833,                 1.1807,                0.99226,                 1.6841,               5.05e-05,               5.05e-05,               5.05e-05
                     52,                 1.0941,                 1.5406,                 1.7406,                0.84107,                0.77487,                0.83304,                0.74628,                 1.1908,                 1.0011,                  1.684,              4.951e-05,              4.951e-05,              4.951e-05
                     53,                  1.192,                 1.3672,                 1.7271,                0.80952,                0.80685,                0.83496,                0.74767,                 1.1885,                 1.0103,                 1.6838,              4.852e-05,              4.852e-05,              4.852e-05
                     54,                 1.1455,                 1.1816,                 1.7044,                0.70687,                0.79058,                 0.8341,                0.75074,                 1.1913,                 1.0168,                 1.6912,              4.753e-05,              4.753e-05,              4.753e-05
                     55,                 1.1245,                  1.316,                 1.7009,                 0.7037,                0.79361,                 0.8351,                0.75128,                 1.1927,                 1.0134,                  1.696,              4.654e-05,              4.654e-05,              4.654e-05
                     56,                 1.1705,                 1.2083,                 1.7292,                0.81109,                0.80349,                0.83708,                0.75128,                 1.1883,                0.99612,                  1.701,              4.555e-05,              4.555e-05,              4.555e-05
