                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3628,                 15.519,                 3.6929,                0.13258,                0.01506,                0.01618,                0.01018,                 3.0473,                 14.086,                 2.4891,               0.095005,                  5e-06,                  5e-06
                      2,                 3.3797,                 9.7945,                  2.721,                0.10643,                0.08995,                0.00614,                 0.0029,                 3.0177,                 31.061,                 2.6087,               0.089011,             1.0891e-05,             1.0891e-05
                      3,                 2.3489,                 6.9856,                 2.1695,                0.21127,                0.01212,                0.00529,                0.00321,                 2.9244,                 52.657,                  2.484,               0.083017,             1.6663e-05,             1.6663e-05
                      4,                 1.9869,                 5.3812,                 2.0863,                0.11974,                0.07363,                 0.0074,                0.00439,                 2.4632,                 24.998,                 2.3009,               0.077022,             2.2317e-05,             2.2317e-05
                      5,                 2.0156,                 5.4201,                 2.0817,                0.72005,                0.02727,                0.02126,                0.01419,                 2.3138,                 15.898,                 2.2396,               0.071028,             2.7852e-05,             2.7852e-05
                      6,                 2.1456,                  4.683,                 2.0735,                 0.8486,                0.04242,                0.05976,                0.04303,                 2.2008,                 8.1481,                 2.2111,               0.065033,             3.3267e-05,             3.3267e-05
                      7,                 2.0348,                 3.8696,                 1.9951,                0.32617,                0.20855,                0.11121,                0.08496,                 2.2028,                  6.002,                 2.2299,               0.059039,             3.8565e-05,             3.8565e-05
                      8,                  2.042,                 4.3726,                 2.0463,                0.31893,                0.28503,                0.16668,                 0.1245,                 2.2241,                  5.437,                 2.1772,               0.053044,             4.3743e-05,             4.3743e-05
                      9,                 1.9438,                 3.6075,                 1.9411,                 0.4053,                0.28142,                0.22396,                0.16762,                 2.1894,                 5.1975,                 2.1465,               0.047049,             4.8802e-05,             4.8802e-05
                     10,                 2.0325,                 3.3478,                  1.962,                0.51361,                0.26188,                0.28807,                0.22868,                 1.9795,                 4.8581,                 2.0891,               0.041054,             5.3743e-05,             5.3743e-05
                     11,                 1.8996,                 3.2039,                 1.8908,                0.42056,                0.29606,                0.32385,                0.26902,                 1.8611,                 4.3393,                 2.0353,               0.035059,             5.8565e-05,             5.8565e-05
                     12,                 1.7927,                 3.1689,                 1.9221,                0.48264,                0.35477,                0.36041,                0.29939,                 1.8004,                 3.6606,                  2.001,               0.029063,             6.3268e-05,             6.3268e-05
                     13,                 1.9886,                 3.2669,                  1.956,                0.51646,                0.39027,                0.41166,                0.34231,                 1.7498,                 3.2031,                 1.9664,               0.023068,             6.7852e-05,             6.7852e-05
                     14,                 1.5274,                 3.1836,                 1.9238,                0.50698,                0.40415,                0.44944,                0.37202,                 1.7752,                 3.0372,                 1.9531,               0.017072,             7.2318e-05,             7.2318e-05
                     15,                 1.8953,                 2.9279,                 1.8934,                0.50319,                0.42112,                0.46808,                0.38373,                 1.7922,                 3.0545,                  1.959,               0.011077,             7.6665e-05,             7.6665e-05
                     16,                 1.8305,                 3.9033,                 2.0758,                0.54146,                0.43942,                0.49144,                0.40647,                  1.767,                 2.9934,                 1.9545,              0.0050809,             8.0893e-05,             8.0893e-05
                     17,                 1.5834,                 2.5101,                 1.8557,                0.54887,                0.45385,                0.50642,                0.42256,                 1.7239,                 2.8957,                 1.9421,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                 1.5928,                 2.3088,                 1.8652,                0.58872,                0.52003,                0.53899,                0.45606,                 1.6218,                  2.462,                 1.9016,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                 1.6042,                 2.4592,                 1.8628,                0.60736,                  0.521,                0.54928,                 0.4673,                  1.602,                 2.2803,                 1.8846,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                 1.4975,                 2.1467,                 1.8133,                0.63496,                0.53024,                0.58046,                0.48742,                 1.5595,                 2.0665,                  1.864,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                 1.5518,                 2.1071,                 1.7979,                0.59304,                0.59718,                0.59587,                0.50002,                  1.554,                 2.0169,                 1.8616,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                 1.7863,                 2.3797,                 1.9153,                0.74264,                 0.5397,                 0.6139,                0.51157,                 1.5504,                 1.9443,                 1.8572,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                 1.4761,                 2.0557,                 1.7958,                0.73309,                 0.5823,                0.62152,                0.51665,                 1.5331,                 1.9528,                 1.8365,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                 1.5451,                 2.2477,                 1.8326,                0.74067,                0.59608,                0.63147,                0.52352,                 1.5196,                 1.9251,                 1.8237,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                 1.5279,                 2.1033,                 1.8255,                0.72228,                0.59729,                0.63854,                0.53126,                 1.5127,                 1.8767,                  1.819,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                 1.4255,                 1.9656,                 1.8861,                0.73465,                0.60148,                0.64924,                0.54207,                 1.5055,                 1.7329,                 1.8032,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                 1.6655,                  2.209,                 1.8901,                0.75711,                0.61316,                0.66087,                0.55312,                 1.4982,                  1.681,                 1.7973,              7.426e-05,              7.426e-05,              7.426e-05
                     28,                 1.4029,                 1.9305,                 1.8183,                0.83761,                0.59382,                0.67478,                 0.5646,                 1.5037,                  1.656,                 1.7975,              7.327e-05,              7.327e-05,              7.327e-05
                     29,                 1.4392,                 1.7352,                 1.7983,                0.84805,                0.58789,                 0.6897,                0.57148,                 1.5143,                 1.6583,                 1.8037,              7.228e-05,              7.228e-05,              7.228e-05
                     30,                 1.5479,                 1.9277,                 1.8363,                0.84772,                0.60576,                0.69929,                0.57636,                   1.54,                 1.6545,                 1.8166,              7.129e-05,              7.129e-05,              7.129e-05
                     31,                 1.3775,                 1.6765,                 1.7879,                0.83236,                0.60677,                0.69744,                0.57716,                 1.5461,                 1.6534,                 1.8173,               7.03e-05,               7.03e-05,               7.03e-05
                     32,                 1.3922,                 1.6858,                 1.7742,                0.79213,                0.59317,                0.69359,                0.58273,                 1.5371,                 1.6622,                  1.818,              6.931e-05,              6.931e-05,              6.931e-05
                     33,                 1.5277,                 1.7228,                 1.7682,                0.77303,                0.60597,                0.68348,                0.57586,                  1.521,                 1.6384,                 1.8102,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                 1.4816,                 2.5825,                 1.8527,                0.78116,                0.57392,                0.68389,                0.57869,                 1.4973,                 1.5966,                 1.8038,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                 1.5752,                 1.7143,                 1.8122,                0.74946,                0.60747,                0.68758,                0.58578,                 1.4712,                  1.576,                 1.8008,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                 1.5144,                 1.7312,                 1.8384,                0.81351,                0.61802,                0.70781,                0.60248,                 1.4535,                 1.5274,                 1.7933,              6.535e-05,              6.535e-05,              6.535e-05
