                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2631,                 1.9127,                 1.7797,                0.81653,                0.61539,                0.69708,                0.60432,                 1.2288,                 1.5558,                 1.6875,              3.664e-05,              3.664e-05,              3.664e-05
                     34,                 1.2721,                 2.1616,                 1.8776,                0.79327,                0.65618,                0.71167,                0.62035,                 1.2092,                  1.543,                 1.6833,              3.466e-05,              3.466e-05,              3.466e-05
                     35,                 1.1465,                 1.7277,                 1.7671,                0.79779,                0.65229,                0.71827,                 0.6314,                 1.2087,                 1.5277,                 1.6841,              3.268e-05,              3.268e-05,              3.268e-05
                     36,                 1.3651,                 2.0354,                 1.8121,                0.80919,                0.62525,                0.73167,                0.64544,                 1.1967,                 1.5262,                 1.6845,               3.07e-05,               3.07e-05,               3.07e-05
                     37,                 1.2372,                 1.7737,                 1.7945,                0.82514,                0.63288,                 0.7386,                0.65213,                 1.1968,                 1.5198,                 1.6827,              2.872e-05,              2.872e-05,              2.872e-05
                     38,                 1.2418,                 1.6421,                 1.7519,                 0.8063,                0.66225,                 0.7496,                0.66254,                 1.1973,                 1.5104,                 1.6847,              2.674e-05,              2.674e-05,              2.674e-05
                     39,                 1.2433,                 1.6806,                 1.7384,                 0.8426,                0.64466,                0.75572,                0.66519,                 1.1993,                 1.4857,                  1.688,              2.476e-05,              2.476e-05,              2.476e-05
                     40,                 1.2813,                 1.6585,                 1.7644,                0.84809,                0.65951,                0.76055,                0.67044,                 1.2048,                 1.4288,                 1.6932,              2.278e-05,              2.278e-05,              2.278e-05
                     41,                 1.2225,                 1.9906,                 1.7577,                0.85263,                0.65988,                0.76675,                0.67606,                 1.2043,                 1.3995,                 1.6922,               2.08e-05,               2.08e-05,               2.08e-05
                     42,                 1.0784,                 2.5286,                 1.8127,                0.85341,                0.67131,                0.77384,                0.67941,                 1.2104,                 1.3767,                 1.6975,              1.882e-05,              1.882e-05,              1.882e-05
                     43,                 1.3174,                   1.99,                 1.7627,                0.84277,                0.66239,                0.77849,                 0.6843,                 1.2122,                 1.3663,                 1.6976,              1.684e-05,              1.684e-05,              1.684e-05
                     44,                 1.2457,                 1.8152,                  1.728,                0.87052,                0.66738,                0.78774,                0.68939,                 1.2102,                 1.3461,                 1.6985,              1.486e-05,              1.486e-05,              1.486e-05
                     45,                 1.3088,                 2.0148,                 1.7521,                0.87835,                0.65188,                0.78447,                  0.686,                 1.2074,                 1.3432,                 1.6994,              1.288e-05,              1.288e-05,              1.288e-05
                     46,                 1.0631,                 1.8425,                 1.7285,                0.83336,                 0.6742,                0.78535,                0.69207,                 1.2068,                 1.3385,                 1.6995,               1.09e-05,               1.09e-05,               1.09e-05
                     47,                 1.2092,                  1.698,                 1.7215,                0.73511,                0.72439,                0.79089,                0.69627,                 1.2102,                 1.3303,                 1.6993,               8.92e-06,               8.92e-06,               8.92e-06
                     48,                0.98024,                 2.3085,                 1.7338,                0.79881,                0.68768,                0.79366,                0.69889,                 1.2099,                 1.3262,                 1.6977,               6.94e-06,               6.94e-06,               6.94e-06
                     49,                 1.0294,                  1.633,                 1.6923,                 0.8099,                0.68481,                0.79852,                 0.7046,                 1.2111,                 1.3289,                 1.6977,               4.96e-06,               4.96e-06,               4.96e-06
                     50,                 1.0792,                 2.1381,                 1.7793,                0.78758,                0.69158,                0.79691,                0.70227,                 1.2127,                 1.3255,                 1.6978,               2.98e-06,               2.98e-06,               2.98e-06
